seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr12	7055381	7055531	151	*	X001	5777	7055740	7070479	14740	+	208	upstream	208	PTPN6
chr12	56511660	56511739	80	*	X004	84872	56512030	56516278	4249	+	290	upstream	290	ZC3H10
chr11	43942333	43942558	226	*	X027	100507300	43930839	43942494	11656	-	0	overlapStart	0	ALKBH3-AS1
chr17	6899264	6899573	310	*	X067	239	6899384	6914055	14672	+	0	overlapStart	0	ALOX12
chr17	7477269	7477364	96	*	X068	652965	7478031	7478165	135	+	666	upstream	666	SNORA48
chr17	7482536	7482688	153	*	X069	968	7482805	7485429	2625	+	116	upstream	116	CD68
chr17	7482874	7483084	211	*	X070	968	7482805	7485429	2625	+	0	inside	68	CD68
chr17	79870663	79870854	192	*	X098	5833	79860777	79869340	8564	-	1322	upstream	1322	PCYT2
chr16	3071831	3072096	266	*	X105	79228	3074032	3077756	3725	+	1935	upstream	1935	THOC6
chr16	70286035	70286045	11	*	X110	118460	70284134	70285833	1700	-	201	upstream	201	EXOSC6
chr16	89789164	89789385	222	*	X112	9605	89773541	89787394	13854	-	1769	upstream	1769	VPS9D1
chr15	41062151	41062309	159	*	X113	643338	41062159	41064648	2490	+	0	overlapStart	0	C15orf62
chr15	66790264	66790450	187	*	X119	10302	66782666	66790146	7481	-	117	upstream	117	SNAPC5
chr14	62217734	62217924	191	*	X130	100750247	62213757	62215807	2051	-	1926	upstream	1926	HIF1A-AS2
chr19	1275289	1275318	30	*	X139	55009	1275520	1279243	3724	+	201	upstream	201	FAM174C
chr19	58906778	58906925	148	*	X157	646862	58907457	58908446	990	+	531	upstream	531	RNF225
chr22	19950213	19950328	116	*	X160	100616414	19951276	19951357	82	+	947	upstream	947	MIR4761
chr22	19950518	19950775	258	*	X161	100616414	19951276	19951357	82	+	500	upstream	500	MIR4761
chr20	62709471	62709715	245	*	X198	4987	62711471	62731996	20526	+	1755	upstream	1755	OPRL1
chr7	100463214	100463318	105	*	X210	7205	100464950	100471076	6127	+	1631	upstream	1631	TRIP6
chr5	68710732	68711140	409	*	X222	153562	68710939	68738984	28046	+	0	overlapStart	0	MARVELD2
chr5	149877197	149877319	123	*	X224	3340	149877340	149937773	60434	+	20	upstream	20	NDST1
chr5	176728675	176729034	360	*	X226	27166	176730763	176733960	3198	+	1728	upstream	1728	PRELID1
chr3	158390396	158390621	226	*	X245	56925	158384203	158390482	6280	-	0	overlapStart	0	LXN
chr3	184053481	184053556	76	*	X246	131408	184053717	184064063	10347	+	160	upstream	160	FAM131A
chr1	45272761	45272776	16	*	X277	149478	45274154	45279801	5648	+	1377	upstream	1377	BTBD19
chr1	45272761	45272776	16	*	X277	343521	45271586	45272957	1372	-	0	inside	180	TCTEX1D4
chr8	8238808	8238991	184	*	X302	157285	8175258	8239257	64000	-	0	inside	265	PRAG1
chr8	144656715	144656730	16	*	X311	642475	144648363	144654928	6566	-	1786	upstream	1786	MROH6
chr8	144660605	144660948	344	*	X312	93100	144656955	144660513	3559	-	91	upstream	91	NAPRT
